Participant,NewsMeasure,Sample,Ratings_M,Ratings_Scored,SocialJetlag_ABS,SocialJetlag_ABS_Binned,Chronotype,SleepDurationAvg,SleepDurationAvg_Binned,SampleCoded,CRT,HL,Age,Edu,Gender,NewsType,NewsDomain,NewsTypeCoded,NewsDomainCoded,GenderCoded,Pct_Confidently_Correct,Pct_Unconfidently_Correct,Pct_Confidently_Incorrect,Pct_Unconfidently_Incorrect
418,Fake-Covid,Liberal,55.33333333,0.333333333,1,'1-2,28,8,'8-9,-0.5,4,6,39,6,Female,Fake,Covid,-0.5,-0.5,-0.5,33.33333333,0,60,6.666666667
418,Fake-The Big Lie,Liberal,5.333333333,0.933333333,1,'1-2,28,8,'8-9,-0.5,4,6,39,6,Female,Fake,TBL,-0.5,0.5,-0.5,80,13.33333333,0,6.666666667
418,Real-Covid,Liberal,34,0.266666667,1,'1-2,28,8,'8-9,-0.5,4,6,39,6,Female,Real,Covid,0.5,-0.5,-0.5,26.66666667,0,20,53.33333333
418,Real-The Big Lie,Liberal,53,0.466666667,1,'1-2,28,8,'8-9,-0.5,4,6,39,6,Female,Real,TBL,0.5,0.5,-0.5,20,26.66666667,13.33333333,40
419,Fake-Covid,Liberal,17.4,0.8,2,'2-3,27.5,7,'7-8,-0.5,3,6,26,9,Male,Fake,Covid,-0.5,-0.5,0.5,80,0,20,0
419,Fake-The Big Lie,Liberal,12.93333333,0.866666667,2,'2-3,27.5,7,'7-8,-0.5,3,6,26,9,Male,Fake,TBL,-0.5,0.5,0.5,86.66666667,0,6.666666667,6.666666667
419,Real-Covid,Liberal,51.46666667,0.733333333,2,'2-3,27.5,7,'7-8,-0.5,3,6,26,9,Male,Real,Covid,0.5,-0.5,0.5,73.33333333,0,26.66666667,0
419,Real-The Big Lie,Liberal,43.86666667,0.6,2,'2-3,27.5,7,'7-8,-0.5,3,6,26,9,Male,Real,TBL,0.5,0.5,0.5,60,0,40,0
420,Fake-Covid,Liberal,2.066666667,1,1,'1-2,30.71428571,7.43,'7-8,-0.5,3,5,25,7,Male,Fake,Covid,-0.5,-0.5,0.5,100,0,0,0
420,Fake-The Big Lie,Liberal,13.6,0.866666667,1,'1-2,30.71428571,7.43,'7-8,-0.5,3,5,25,7,Male,Fake,TBL,-0.5,0.5,0.5,80,6.666666667,13.33333333,0
420,Real-Covid,Liberal,45.26666667,0.533333333,1,'1-2,30.71428571,7.43,'7-8,-0.5,3,5,25,7,Male,Real,Covid,0.5,-0.5,0.5,53.33333333,0,40,6.666666667
420,Real-The Big Lie,Liberal,46.46666667,0.4,1,'1-2,30.71428571,7.43,'7-8,-0.5,3,5,25,7,Male,Real,TBL,0.5,0.5,0.5,33.33333333,6.666666667,33.33333333,26.66666667
421,Fake-Covid,Liberal,7.4,1,0,'0-1,31,9,'9-10,-0.5,3,6,23,7,Female,Fake,Covid,-0.5,-0.5,-0.5,93.33333333,6.666666667,0,0
421,Fake-The Big Lie,Liberal,19.33333333,0.8,0,'0-1,31,9,'9-10,-0.5,3,6,23,7,Female,Fake,TBL,-0.5,0.5,-0.5,73.33333333,6.666666667,6.666666667,13.33333333
421,Real-Covid,Liberal,46.73333333,0.4,0,'0-1,31,9,'9-10,-0.5,3,6,23,7,Female,Real,Covid,0.5,-0.5,-0.5,33.33333333,6.666666667,40,20
421,Real-The Big Lie,Liberal,56.4,0.733333333,0,'0-1,31,9,'9-10,-0.5,3,6,23,7,Female,Real,TBL,0.5,0.5,-0.5,46.66666667,26.66666667,0,26.66666667
424,Fake-Covid,Liberal,8.533333333,1,1.5,'1-2,28.35714286,7.71,'7-8,-0.5,3,6,22,5,Female,Fake,Covid,-0.5,-0.5,-0.5,100,0,0,0
424,Fake-The Big Lie,Liberal,12.26666667,0.933333333,1.5,'1-2,28.35714286,7.71,'7-8,-0.5,3,6,22,5,Female,Fake,TBL,-0.5,0.5,-0.5,73.33333333,20,6.666666667,0
424,Real-Covid,Liberal,45,0.533333333,1.5,'1-2,28.35714286,7.71,'7-8,-0.5,3,6,22,5,Female,Real,Covid,0.5,-0.5,-0.5,33.33333333,20,40,6.666666667
424,Real-The Big Lie,Liberal,61.73333333,0.666666667,1.5,'1-2,28.35714286,7.71,'7-8,-0.5,3,6,22,5,Female,Real,TBL,0.5,0.5,-0.5,66.66666667,0,20,13.33333333
425,Fake-Covid,Liberal,26.93333333,0.8,0.5,'0-1,26.89285714,8.79,'8-9,-0.5,3,6,32,9,Female,Fake,Covid,-0.5,-0.5,-0.5,0,80,0,20
425,Fake-The Big Lie,Liberal,30.46666667,0.8,0.5,'0-1,26.89285714,8.79,'8-9,-0.5,3,6,32,9,Female,Fake,TBL,-0.5,0.5,-0.5,0,80,6.666666667,13.33333333
425,Real-Covid,Liberal,45.6,0.333333333,0.5,'0-1,26.89285714,8.79,'8-9,-0.5,3,6,32,9,Female,Real,Covid,0.5,-0.5,-0.5,20,13.33333333,0,66.66666667
425,Real-The Big Lie,Liberal,48.26666667,0.533333333,0.5,'0-1,26.89285714,8.79,'8-9,-0.5,3,6,32,9,Female,Real,TBL,0.5,0.5,-0.5,20,33.33333333,0,46.66666667
426,Fake-Covid,Liberal,16.2,0.933333333,2,'2-3,29.14285714,8.29,'8-9,-0.5,3,6,27,8,Female,Fake,Covid,-0.5,-0.5,-0.5,93.33333333,0,0,6.666666667
426,Fake-The Big Lie,Liberal,32.66666667,0.666666667,2,'2-3,29.14285714,8.29,'8-9,-0.5,3,6,27,8,Female,Fake,TBL,-0.5,0.5,-0.5,66.66666667,0,26.66666667,6.666666667
426,Real-Covid,Liberal,68.13333333,0.866666667,2,'2-3,29.14285714,8.29,'8-9,-0.5,3,6,27,8,Female,Real,Covid,0.5,-0.5,-0.5,80,6.666666667,13.33333333,0
426,Real-The Big Lie,Liberal,70.06666667,1,2,'2-3,29.14285714,8.29,'8-9,-0.5,3,6,27,8,Female,Real,TBL,0.5,0.5,-0.5,86.66666667,13.33333333,0,0
427,Fake-Covid,Liberal,16.8,0.733333333,2,'2-3,26.64285714,8.29,'8-9,-0.5,3,6,27,7,Female,Fake,Covid,-0.5,-0.5,-0.5,0,73.33333333,13.33333333,13.33333333
427,Fake-The Big Lie,Liberal,32.13333333,0.733333333,2,'2-3,26.64285714,8.29,'8-9,-0.5,3,6,27,7,Female,Fake,TBL,-0.5,0.5,-0.5,0,73.33333333,26.66666667,0
427,Real-Covid,Liberal,57.73333333,0.666666667,2,'2-3,26.64285714,8.29,'8-9,-0.5,3,6,27,7,Female,Real,Covid,0.5,-0.5,-0.5,60,6.666666667,0,33.33333333
427,Real-The Big Lie,Liberal,66.66666667,0.8,2,'2-3,26.64285714,8.29,'8-9,-0.5,3,6,27,7,Female,Real,TBL,0.5,0.5,-0.5,73.33333333,6.666666667,0,20
428,Fake-Covid,Liberal,9.4,1,1.75,'1-2,28.57142857,7.64,'7-8,-0.5,4,6,28,7,Female,Fake,Covid,-0.5,-0.5,-0.5,93.33333333,6.666666667,0,0
428,Fake-The Big Lie,Liberal,29.06666667,0.866666667,1.75,'1-2,28.57142857,7.64,'7-8,-0.5,4,6,28,7,Female,Fake,TBL,-0.5,0.5,-0.5,73.33333333,13.33333333,6.666666667,6.666666667
428,Real-Covid,Liberal,57.06666667,0.8,1.75,'1-2,28.57142857,7.64,'7-8,-0.5,4,6,28,7,Female,Real,Covid,0.5,-0.5,-0.5,53.33333333,26.66666667,13.33333333,6.666666667
428,Real-The Big Lie,Liberal,58.46666667,0.733333333,1.75,'1-2,28.57142857,7.64,'7-8,-0.5,4,6,28,7,Female,Real,TBL,0.5,0.5,-0.5,53.33333333,20,13.33333333,13.33333333
429,Fake-Covid,Liberal,4.2,1,1.375,'1-2,27.53571429,7.82,'7-8,-0.5,4,6,41,7,Male,Fake,Covid,-0.5,-0.5,0.5,86.66666667,13.33333333,0,0
429,Fake-The Big Lie,Liberal,3.066666667,1,1.375,'1-2,27.53571429,7.82,'7-8,-0.5,4,6,41,7,Male,Fake,TBL,-0.5,0.5,0.5,86.66666667,13.33333333,0,0
429,Real-Covid,Liberal,48.66666667,0.466666667,1.375,'1-2,27.53571429,7.82,'7-8,-0.5,4,6,41,7,Male,Real,Covid,0.5,-0.5,0.5,20,26.66666667,13.33333333,40
429,Real-The Big Lie,Liberal,58.73333333,0.733333333,1.375,'1-2,27.53571429,7.82,'7-8,-0.5,4,6,41,7,Male,Real,TBL,0.5,0.5,0.5,40,33.33333333,13.33333333,13.33333333
430,Fake-Covid,Liberal,2.866666667,1,1.25,'1-2,26.82142857,8.14,'8-9,-0.5,1,4,44,7,Female,Fake,Covid,-0.5,-0.5,-0.5,0,100,0,0
430,Fake-The Big Lie,Liberal,31.8,0.6,1.25,'1-2,26.82142857,8.14,'8-9,-0.5,1,4,44,7,Female,Fake,TBL,-0.5,0.5,-0.5,0,60,33.33333333,6.666666667
430,Real-Covid,Liberal,56.86666667,0.466666667,1.25,'1-2,26.82142857,8.14,'8-9,-0.5,1,4,44,7,Female,Real,Covid,0.5,-0.5,-0.5,26.66666667,20,13.33333333,40
430,Real-The Big Lie,Liberal,62.33333333,0.533333333,1.25,'1-2,26.82142857,8.14,'8-9,-0.5,1,4,44,7,Female,Real,TBL,0.5,0.5,-0.5,33.33333333,20,0,46.66666667
431,Fake-Covid,Liberal,3.466666667,1,2.125,'2-3,27.67857143,7.61,'7-8,-0.5,3,6,21,6,Female,Fake,Covid,-0.5,-0.5,-0.5,100,0,0,0
431,Fake-The Big Lie,Liberal,13.93333333,0.866666667,2.125,'2-3,27.67857143,7.61,'7-8,-0.5,3,6,21,6,Female,Fake,TBL,-0.5,0.5,-0.5,80,6.666666667,6.666666667,6.666666667
431,Real-Covid,Liberal,57.2,0.533333333,2.125,'2-3,27.67857143,7.61,'7-8,-0.5,3,6,21,6,Female,Real,Covid,0.5,-0.5,-0.5,53.33333333,0,13.33333333,33.33333333
431,Real-The Big Lie,Liberal,62.06666667,0.8,2.125,'2-3,27.67857143,7.61,'7-8,-0.5,3,6,21,6,Female,Real,TBL,0.5,0.5,-0.5,66.66666667,13.33333333,6.666666667,13.33333333
432,Fake-Covid,Liberal,17.33333333,0.733333333,1.25,'1-2,28.92857143,8.36,'8-9,-0.5,4,6,63,6,Female,Fake,Covid,-0.5,-0.5,-0.5,66.66666667,6.666666667,0,26.66666667
432,Fake-The Big Lie,Liberal,10.6,0.933333333,1.25,'1-2,28.92857143,8.36,'8-9,-0.5,4,6,63,6,Female,Fake,TBL,-0.5,0.5,-0.5,73.33333333,20,0,6.666666667
432,Real-Covid,Liberal,65,0.6,1.25,'1-2,28.92857143,8.36,'8-9,-0.5,4,6,63,6,Female,Real,Covid,0.5,-0.5,-0.5,53.33333333,6.666666667,6.666666667,33.33333333
432,Real-The Big Lie,Liberal,71.06666667,0.733333333,1.25,'1-2,28.92857143,8.36,'8-9,-0.5,4,6,63,6,Female,Real,TBL,0.5,0.5,-0.5,46.66666667,26.66666667,6.666666667,20
433,Fake-Covid,Liberal,8.466666667,0.933333333,0,'0-1,33,8,'8-9,-0.5,3,6,31,7,NA,Fake,Covid,-0.5,-0.5,NA,80,13.33333333,0,6.666666667
433,Fake-The Big Lie,Liberal,43.4,0.4,0,'0-1,33,8,'8-9,-0.5,3,6,31,7,NA,Fake,TBL,-0.5,0.5,NA,33.33333333,6.666666667,0,60
433,Real-Covid,Liberal,47.66666667,0.466666667,0,'0-1,33,8,'8-9,-0.5,3,6,31,7,NA,Real,Covid,0.5,-0.5,NA,26.66666667,20,26.66666667,26.66666667
433,Real-The Big Lie,Liberal,44.86666667,0.333333333,0,'0-1,33,8,'8-9,-0.5,3,6,31,7,NA,Real,TBL,0.5,0.5,NA,0,33.33333333,6.666666667,60
434,Fake-Covid,Liberal,11.46666667,0.933333333,0.625,'0-1,27.10714286,7.46,'7-8,-0.5,3,2,41,9,Male,Fake,Covid,-0.5,-0.5,0.5,40,53.33333333,6.666666667,0
434,Fake-The Big Lie,Liberal,23.06666667,0.866666667,0.625,'0-1,27.10714286,7.46,'7-8,-0.5,3,2,41,9,Male,Fake,TBL,-0.5,0.5,0.5,60,26.66666667,13.33333333,0
434,Real-Covid,Liberal,40.53333333,0.266666667,0.625,'0-1,27.10714286,7.46,'7-8,-0.5,3,2,41,9,Male,Real,Covid,0.5,-0.5,0.5,13.33333333,13.33333333,13.33333333,60
434,Real-The Big Lie,Liberal,60.2,0.733333333,0.625,'0-1,27.10714286,7.46,'7-8,-0.5,3,2,41,9,Male,Real,TBL,0.5,0.5,0.5,73.33333333,0,20,6.666666667
435,Fake-Covid,Liberal,36.4,0.733333333,1.325,'1-2,25.625,8.6,'8-9,-0.5,3,6,23,6,Male,Fake,Covid,-0.5,-0.5,0.5,6.666666667,66.66666667,20,6.666666667
435,Fake-The Big Lie,Liberal,45.73333333,0.733333333,1.325,'1-2,25.625,8.6,'8-9,-0.5,3,6,23,6,Male,Fake,TBL,-0.5,0.5,0.5,13.33333333,60,20,6.666666667
435,Real-Covid,Liberal,44.8,0.333333333,1.325,'1-2,25.625,8.6,'8-9,-0.5,3,6,23,6,Male,Real,Covid,0.5,-0.5,0.5,26.66666667,6.666666667,13.33333333,53.33333333
435,Real-The Big Lie,Liberal,48.6,0.466666667,1.325,'1-2,25.625,8.6,'8-9,-0.5,3,6,23,6,Male,Real,TBL,0.5,0.5,0.5,20,26.66666667,6.666666667,46.66666667
436,Fake-Covid,Liberal,2,1,0.75,'0-1,32.64285714,7.79,'7-8,-0.5,4,4,29,7,Female,Fake,Covid,-0.5,-0.5,-0.5,100,0,0,0
436,Fake-The Big Lie,Liberal,12.33333333,0.866666667,0.75,'0-1,32.64285714,7.79,'7-8,-0.5,4,4,29,7,Female,Fake,TBL,-0.5,0.5,-0.5,86.66666667,0,6.666666667,6.666666667
436,Real-Covid,Liberal,58.2,0.8,0.75,'0-1,32.64285714,7.79,'7-8,-0.5,4,4,29,7,Female,Real,Covid,0.5,-0.5,-0.5,53.33333333,26.66666667,6.666666667,13.33333333
436,Real-The Big Lie,Liberal,58.2,0.733333333,0.75,'0-1,32.64285714,7.79,'7-8,-0.5,4,4,29,7,Female,Real,TBL,0.5,0.5,-0.5,53.33333333,20,6.666666667,20
437,Fake-Covid,Liberal,0.266666667,1,0.233333333,'0-1,29.1,7.67,'7-8,-0.5,2,2,63,8,Female,Fake,Covid,-0.5,-0.5,-0.5,93.33333333,6.666666667,0,0
437,Fake-The Big Lie,Liberal,21,0.8,0.233333333,'0-1,29.1,7.67,'7-8,-0.5,2,2,63,8,Female,Fake,TBL,-0.5,0.5,-0.5,80,0,20,0
437,Real-Covid,Liberal,55.93333333,0.466666667,0.233333333,'0-1,29.1,7.67,'7-8,-0.5,2,2,63,8,Female,Real,Covid,0.5,-0.5,-0.5,46.66666667,0,33.33333333,20
437,Real-The Big Lie,Liberal,55.66666667,0.466666667,0.233333333,'0-1,29.1,7.67,'7-8,-0.5,2,2,63,8,Female,Real,TBL,0.5,0.5,-0.5,46.66666667,0,33.33333333,20
438,Fake-Covid,Liberal,3,1,1.625,'1-2,24.67857143,7.61,'7-8,-0.5,1,5,63,7,Female,Fake,Covid,-0.5,-0.5,-0.5,86.66666667,13.33333333,0,0
438,Fake-The Big Lie,Liberal,11.93333333,0.866666667,1.625,'1-2,24.67857143,7.61,'7-8,-0.5,1,5,63,7,Female,Fake,TBL,-0.5,0.5,-0.5,66.66666667,20,6.666666667,6.666666667
438,Real-Covid,Liberal,44.46666667,0.6,1.625,'1-2,24.67857143,7.61,'7-8,-0.5,1,5,63,7,Female,Real,Covid,0.5,-0.5,-0.5,26.66666667,33.33333333,6.666666667,33.33333333
438,Real-The Big Lie,Liberal,55.46666667,0.733333333,1.625,'1-2,24.67857143,7.61,'7-8,-0.5,1,5,63,7,Female,Real,TBL,0.5,0.5,-0.5,46.66666667,26.66666667,13.33333333,13.33333333
439,Fake-Covid,Liberal,6,0.933333333,0.125,'0-1,27.96428571,7.68,'7-8,-0.5,3,4,29,9,Male,Fake,Covid,-0.5,-0.5,0.5,93.33333333,0,0,6.666666667
439,Fake-The Big Lie,Liberal,9.466666667,0.866666667,0.125,'0-1,27.96428571,7.68,'7-8,-0.5,3,4,29,9,Male,Fake,TBL,-0.5,0.5,0.5,86.66666667,0,6.666666667,6.666666667
439,Real-Covid,Liberal,75.33333333,0.866666667,0.125,'0-1,27.96428571,7.68,'7-8,-0.5,3,4,29,9,Male,Real,Covid,0.5,-0.5,0.5,80,6.666666667,6.666666667,6.666666667
439,Real-The Big Lie,Liberal,77.53333333,0.8,0.125,'0-1,27.96428571,7.68,'7-8,-0.5,3,4,29,9,Male,Real,TBL,0.5,0.5,0.5,80,0,6.666666667,13.33333333
